id,owner,created,modified,title,type,description,tags,snippet,categories,accessInformation,licenseInfo,culture,url,access,license,source,extent,industries
"3b1ed9295d2c428a8f0ec6e6ffcfeddf","dadosabertos","Tue, 23 May 2023 11:10:10 GMT","Fri, 13 Feb 2026 14:35:33 GMT","Cadastro Nacional de Usuários de Recursos Hídricos - Usuários em corpos hídricos de domínio dos Estados (outorgas superficiais)","Feature Service","O Cadastro Nacional de Usuários de Recursos Hídricos (CNARH) foi criado para conter os registros dos usuários de recursos hídricos (superficiais e subterrâneos) que captam água, lançam efluentes ou realizam demais interferências diretas em corpos hídricos (rio ou curso d’água, reservatório, açude, barragem, poço, nascente etc.). A Agência Nacional de Águas e Saneamento Básico (ANA) é a responsável por manter o CNARH e armazenar as informações dos usuários. Nesse sentido, a ANA faz a gestão da plataforma de cadastramento e armazenamento de dados com o objetivo integrar os dados dos usuários de domínio federal e estadual, além de disponibilizar ferramentas computacionais para a gestão dos dados por parte dos os órgãos gestores. Com o cadastro de usuários é possível conhecer a real demanda pelo uso da água, o que é fundamental para o planejamento das ações a ANA e para a implementação dos instrumentos das políticas de recursos hídricos. Confira abaixo como o CNARH pode ser utilizado por usuários federais e estaduais de recursos hídricos. A inserção de informações no CNARH é de responsabilidade dos respectivos órgãos gestores, conforme Resolução ANA nº 1.935, de 2017. Aqui estão disponibilizados os usuários de recursos hídricos no corpos hídricos de domínio dos estados. Os usuários nos corpos hídricos de domínio federal estão disponibilizados em: https://dadosabertos.ana.gov.br/datasets/2cfab409c9ee4592aa4c404ec556807b_1/about","cnarh,usuários de recursos hídricos,usuários estaduais,outorgas,outorgas estaduais","CNARH - Outorgas superficiais de usuários em corpos hídricos de domínio dos Estados.","","COS","É permitida a reprodução de dados e de informações, desde que citada a fonte.","pt-br","https://www.snirh.gov.br/arcgis/rest/services/SFI/cnarh_dados_abertos_v31082022/FeatureServer/1","public","custom",,"-73.2956,-33.7295,-31.3568,4.4454",""
"9e8a6890e6384bfa9a8d06de4a403080","dadosabertos","Tue, 23 May 2023 11:23:01 GMT","Fri, 13 Feb 2026 14:35:30 GMT","Cadastro Nacional de Usuários de Recursos Hídricos - Usuários nos corpos hídricos de domínio da União","Feature Service","O Cadastro Nacional de Usuários de Recursos Hídricos (CNARH) foi criado para conter os registros dos usuários de recursos hídricos (superficiais e subterrâneos) que captam água, lançam efluentes ou realizam demais interferências diretas em corpos hídricos (rio ou curso d’água, reservatório, açude, barragem, poço, nascente etc.). A Agência Nacional de Águas e Saneamento Básico (ANA) é a responsável por manter o CNARH e armazenar as informações dos usuários. Nesse sentido, a ANA faz a gestão da plataforma de cadastramento e armazenamento de dados com o objetivo integrar os dados dos usuários de domínio federal e estadual, além de disponibilizar ferramentas computacionais para a gestão dos dados por parte dos os órgãos gestores. Com o cadastro de usuários é possível conhecer a real demanda pelo uso da água, o que é fundamental para o planejamento das ações a ANA e para a implementação dos instrumentos das políticas de recursos hídricos. Confira abaixo como o CNARH pode ser utilizado por usuários federais e estaduais de recursos hídricos. A inserção de informações no CNARH é de responsabilidade dos respectivos órgãos gestores, conforme Resolução ANA nº 1.935, de 2017.","cnarh,usuários de recursos hídricos,usuários federais,outorgas,outorgas federais","Cadastro Nacional de Usuários de Recursos Hídricos - CNARH - Usuários nos corpos hídricos de domínio da União.","","COS","","pt-br","https://portal1.snirh.gov.br/arcgis/rest/services/SFI/cnarh_dados_abertos_v31082022/FeatureServer/3","public",,,"-73.2956,-33.7295,-31.3568,4.4454",""
"096e3aae5bd24c759c3b08fcfa0e33c3","dadosabertos","Tue, 23 May 2023 11:17:15 GMT","Fri, 13 Feb 2026 14:35:26 GMT","Cadastro Nacional de Usuários de Recursos Hídricos - Usuários em corpos hídricos de domínio dos Estados (outorgas subterrâneas)","Feature Service","O Cadastro Nacional de Usuários de Recursos Hídricos (CNARH) foi criado para conter os registros dos usuários de recursos hídricos (superficiais e subterrâneos) que captam água, lançam efluentes ou realizam demais interferências diretas em corpos hídricos (rio ou curso d’água, reservatório, açude, barragem, poço, nascente etc.). A Agência Nacional de Águas e Saneamento Básico (ANA) é a responsável por manter o CNARH e armazenar as informações dos usuários. Nesse sentido, a ANA faz a gestão da plataforma de cadastramento e armazenamento de dados com o objetivo integrar os dados dos usuários de domínio federal e estadual, além de disponibilizar ferramentas computacionais para a gestão dos dados por parte dos os órgãos gestores. Com o cadastro de usuários é possível conhecer a real demanda pelo uso da água, o que é fundamental para o planejamento das ações a ANA e para a implementação dos instrumentos das políticas de recursos hídricos. Confira abaixo como o CNARH pode ser utilizado por usuários federais e estaduais de recursos hídricos. A inserção de informações no CNARH é de responsabilidade dos respectivos órgãos gestores, conforme Resolução ANA nº 1.935, de 2017.","cnarh,usuários de recursos hídricos,usuários estaduais,outorgas,outorgas estaduais,outorgas subterrâneas","CNARH - Outorgas subterrâneas de Usuários em  corpos hídricos de domínio dos Estados.","","COS","","pt-br","https://www.snirh.gov.br/arcgis/rest/services/SFI/cnarh_dados_abertos_v31082022/FeatureServer/2","public",,,"-82,-57,-35,14",""
"5e520cacd27a4d0888d185c74c5b762b","dadosabertos","Tue, 29 Mar 2022 17:41:40 GMT","Wed, 11 Feb 2026 14:48:27 GMT","Regiões Hidrográficas (CNRH)","Feature Service","Regiões Hidrográficas definidas pelo CNRH.","dados abertos,região hidrográfica,RHI,SNIRH,CNRH,DHN250","","","","","pt-br","https://www.snirh.gov.br/arcgis/rest/services/SNIRH2016/Divisao_de_bacias/FeatureServer/3","public",,,"-73.9832,-33.7512,-32.378,5.2696",""
"3b0b5f63e7e84634b133b6d287172dfd","dadosabertos","Wed, 10 May 2023 20:13:00 GMT","Tue, 22 Jul 2025 18:36:54 GMT","Comportamento das Chuvas e Vazões - Diferença nas Vazões - 2010 a 2020","Feature Service","Esboço regional do comportamento das vazões no período de 2010 a 2020 em relação à média de 1980 a 2010, a partir de estações fluviométricas da Rede Hidrometeorológica Nacional (RHN). * Na última década, observou-se uma redução significativa das vazões observadas em grande parte do Brasil, especialmente no período entre os anos de 2014 e 2017, e no ano de 2020. A região Nordeste, que depende fortemente da água armazenada em seus reservatórios, apresentou uma grande seca, que se estendeu de 2012 até 2016. Como reflexo da seca de 5 anos consecutivos, 65 açudes que fornecem água para abastecimento público encontravam-se secos em dezembro de 2016. Na UGRH São Francisco, observaram-se reduções das vazões na ordem de 25 a 50% no período entre 2010 e 2020. Reduções importantes nas vazões também foram registradas na UGRH Tocantins-Araguaia e na maior parte da UGRH Paraguai. Além das estiagens, também ocorreram cheias pontuais em algumas UGRHs na última década. Nas UGRHs da bacia Amazônica foi observado aumento das vazões, contudo em algumas estações de monitoramento em Roraima (UGRH Negro) e no Acre (porção Sul das UGRHs Juruá e Purus) houve indicativo de redução. Situação semelhante foi observada na região Sul do País. Na bacia do Paraná, parte das UGRHs apresentaram redução significativa da vazão média (UGRHs Paranaíba, Grande e PCJ), e outra parte um aumento substancial das vazões (UGRHs Paraná, Iguaçu e Paranapanema). Na UGRH Uruguai, parte das estações apresentaram aumento, e outra parte diminuição das vazões. (*) Retirado de Relatório Pleno, Conjuntura dos Recursos Hídricos no Brasil 2021.","secas,cheias,redução das vazões,aumento das vazões,UGRH,SNIRH,estação fluviométrica","Comportamento das Chuvas e Vazões - Diferença nas Vazões - 2010 a 2020","","Agência Nacional de Águas e Saneamento Básico - ANA","É permitida a reprodução de dados e de informações, desde que citada a fonte.","pt-br","https://www.snirh.gov.br/arcgis/rest/services/SPR/Comportamento_Recente_Diferenca_Vazoes/FeatureServer/1","public","custom",,"-73.664,-31.714,-35.039,4.196",""
"8d42529e08654032bd1b503084b50b5e","dadosabertos","Mon, 11 Mar 2019 14:02:26 GMT","Mon, 02 Jun 2025 19:04:54 GMT","Plano da Bacia Hidrográfica do Rio Paranaíba - Rede Monitoramento Paranaíba - Rede Fluviométrica ANA - Operando","Feature Service","O Plano de Recursos Hídricos e do Enquadramento dos Corpos Hídricos Superficiais da Bacia Hidrográfica do Rio Paranaíba (PRH-Paranaíba) foi elaborado entre 2010 e 2013. Sua aprovação pelo CBH-Paranaíba ocorreu em 04 de junho de 2013, resultando nas Deliberações 38 e 39. As intervenções na bacia foram estruturadas em 03 Componentes, 15 Programas e 41 Subprogramas a serem implementados no horizonte de planejamento adotado (2014-2033). Na documentação (ver downloads) estão disponíveis as fontes de dados, métodos e critérios utilizados, assim como o processo de participação pública.","planos de recursos hídricos,paranaíba,rede de monitoramento","Plano da Bacia Hidrográfica do Rio Paranaíba - Rede Monitoramento Paranaíba - Rede Fluviométrica ANA - Operando","","COS","","pt-br","https://www.snirh.gov.br/arcgis/rest/services/SPR/Rede_Monitoramento_Paranaiba/MapServer/1","public",,,"-52.6018,-20.0144,-46.5398,-15.5729",""
"ed7ca1a08a1244e2a4ea095c488970fe","dadosabertos","Thu, 28 Feb 2019 18:46:20 GMT","Mon, 02 Jun 2025 19:04:51 GMT","Plano da Bacia Hidrográfica do Rio Paranaíba - Base de Gestão - Unidade de Planejamento - UPH - sem incrementais","Feature Service","Acesso os metadados

O
Plano de Recursos Hídricos e do Enquadramento dos Corpos Hídricos Superficiais
da Bacia Hidrográfica do Rio Paranaíba (PRH-Paranaíba) foi elaborado entre 2010
e 2013. Sua aprovação pelo CBH-Paranaíba ocorreu em 04 de junho de 2013,
resultando nas Deliberações 38 e 39. As intervenções na bacia foram
estruturadas em 03 Componentes, 15 Programas e 41 Subprogramas a serem
implementados no horizonte de planejamento adotado (2014-2033).","UPH,bacia do Paranaíba,unidade de planejamento,paranaíba,plano de bacia","Plano da Bacia Hidrográfica do Rio Paranaíba - Base de Gestão - Unidade de Planejamento - UPH - sem incrementais","","COS","","pt-br","https://www.snirh.gov.br/arcgis/rest/services/SPR/Paranaiba_BaseGestao/MapServer/6","public",,,"-53.1816,-20.1751,-46.0633,-15.43",""
"582fe8aaf8f24a8eb2524825a66e69c1","dadosabertos","Thu, 28 Feb 2019 18:39:49 GMT","Mon, 02 Jun 2025 19:04:49 GMT","Plano da Bacia Hidrográfica do Rio Paranaíba - Base de Gestão - Unidade de Gestão - UGP","Feature Service","Acesso os metadados

O
Plano de Recursos Hídricos e do Enquadramento dos Corpos Hídricos Superficiais
da Bacia Hidrográfica do Rio Paranaíba (PRH-Paranaíba) foi elaborado entre 2010
e 2013. Sua aprovação pelo CBH-Paranaíba ocorreu em 04 de junho de 2013,
resultando nas Deliberações 38 e 39. As intervenções na bacia foram
estruturadas em 03 Componentes, 15 Programas e 41 Subprogramas a serem
implementados no horizonte de planejamento adotado (2014-2033).","UGP,bacia do Paranaíba,unidade de gestão,paranaíba,plano de bacia","Plano da Bacia Hidrográfica do Rio Paranaíba - Base de Gestão - Unidade de Gestão - UGP","","COS","","pt-br","https://www.snirh.gov.br/arcgis/rest/services/SPR/Paranaiba_BaseGestao/MapServer/4","public",,,"-53.1816,-20.1751,-46.0633,-15.43",""
"411b7f92f4294c0791bb35d50e69b36e","dadosabertos","Thu, 28 Feb 2019 18:37:19 GMT","Mon, 02 Jun 2025 19:04:47 GMT","Plano da Bacia Hidrográfica do Rio Paranaíba - Base de Gestão - Dominialidade","Feature Service","Acesso os metadados

O
Plano de Recursos Hídricos e do Enquadramento dos Corpos Hídricos Superficiais
da Bacia Hidrográfica do Rio Paranaíba (PRH-Paranaíba) foi elaborado entre 2010
e 2013. Sua aprovação pelo CBH-Paranaíba ocorreu em 04 de junho de 2013,
resultando nas Deliberações 38 e 39. As intervenções na bacia foram
estruturadas em 03 Componentes, 15 Programas e 41 Subprogramas a serem
implementados no horizonte de planejamento adotado (2014-2033).","dominialidade,bacia do Paranaíba,domínio,paranaíba,plano de bacia","Plano da Bacia Hidrográfica do Rio Paranaíba - Base de Gestão - Dominialidade","","COS","","pt-br","https://www.snirh.gov.br/arcgis/rest/services/SPR/Paranaiba_BaseGestao/MapServer/3","public",,,"-53.1129,-20.163,-46.0703,-15.4612",""
"495f434a6fdb4b959c4ae99431cb14c3","dadosabertos","Thu, 28 Feb 2019 18:35:06 GMT","Mon, 02 Jun 2025 19:04:45 GMT","Plano da Bacia Hidrográfica do Rio Paranaíba - Base de Gestão - Cidades Pólo","Feature Service","Acesso os metadados

O
Plano de Recursos Hídricos e do Enquadramento dos Corpos Hídricos Superficiais
da Bacia Hidrográfica do Rio Paranaíba (PRH-Paranaíba) foi elaborado entre 2010
e 2013. Sua aprovação pelo CBH-Paranaíba ocorreu em 04 de junho de 2013,
resultando nas Deliberações 38 e 39. As intervenções na bacia foram
estruturadas em 03 Componentes, 15 Programas e 41 Subprogramas a serem
implementados no horizonte de planejamento adotado (2014-2033).","cidades,cidades pólo,Plano da Bacia Hidrográfica,Rio Paranaíba","Plano da Bacia Hidrográfica do Rio Paranaíba - Base de Gestão - Cidades Pólo","","COS","","pt-br","https://www.snirh.gov.br/arcgis/rest/services/SPR/Paranaiba_BaseGestao/MapServer/2","public",,,"-51.7208,-19.7477,-46.5016,-15.78",""
